concepto,descripcion
transformada de radón,"La transformación Hough (/HʌF/) es una técnica de extracción de características utilizada en análisis de imágenes, visión por computadora, reconocimiento de patrones y procesamiento de imágenes digitales. El propósito de la técnica es encontrar instancias imperfectas de objetos dentro de una cierta clase de formas mediante un procedimiento de votación. Este procedimiento de votación se lleva a cabo en un espacio de parámetros, desde el cual los candidatos de objetos se obtienen como máximos locales en un llamado espacio acumulador que está explícitamente construido por el algoritmo para calcular la transformación de Hough.  Matemáticamente, es simplemente la transformación de radón en el plano, conocida desde al menos 1917, pero la transformación de Hough se refiere a su uso en el análisis de imágenes."
anotación de imágenes,"La segmentación es uno de los problemas generales del campo de la visión artificial y consiste en dividir una imagen digital en varias regiones (grupos de píxeles) denominadas segmentos.  Más concretamente, la segmentación es un proceso de clasificación por píxel que asigna una categoría a cada píxel de la imagen analizada.  Este problema general se divide en problemas especializados, dando lugar por ejemplo a:"
ajuste de contraste,"La corrección de gamma o gamma es una operación no lineal utilizada para codificar y decodificar los valores de luminancia o tristimulus en los sistemas de videos o de imágenes fijas. La corrección de gamma está, en los casos más simples, definido por la siguiente expresión de la ley de potencia:"
realce de imágenes,"El glioblastoma (también conocido como glioblastoma multiforme o con las siglas GBM) es el tumor más común y más maligno entre las neoplasias de la glía. Su nombre quedó establecido por la clasificación OMS-2000​ y fijado por la clasificación OMS-2007.​ De acuerdo con esta clasificación de la OMS de los tumores del sistema nervioso central, el nombre genérico para este tumor cerebral es ""glioblastoma"" y presenta dos variedades: el glioblastoma de células gigantes y el gliosarcoma."
registro de imágenes,"El registro de imágenes es el proceso de transformación de diferentes conjuntos de datos en un sistema de coordenadas. Los datos pueden ser múltiples fotografías, datos de diferentes sensores, tiempos, profundidades o puntos de vista. Se utiliza en visión por computadora, imágenes médicas, reconocimiento automático de objetivos militares y compilación y análisis de imágenes y datos de satélites. El registro es necesario para poder comparar o integrar los datos obtenidos de estas diferentes medidas."
análisis de textura,"La red del sistema nervioso humano está compuesta de nodos (por ejemplo, neuronas) que están conectadas por enlaces (por ejemplo, sinapsis). La conectividad puede verse anatómica, funcionalmente o electrofisiológicamente. Estos se presentan en varios artículos de Wikipedia que incluyen Connectionism (también conocido como procesamiento distribuido paralelo (PDP)), red neuronal biológica, red neuronal artificial (también conocida como red neuronal), neurociencia computacional, así como en varios libros de Ascoli, G. A. (2002), Sterratt, D., Graham, B., Gillies, A., y Willshaw, D. (2011) (2011), 2011, 2011, 2011). W. y Kistler, W. (2002), y David Rumelhart, McClelland, J. L. y PDP Research Group (1986), entre otros. El enfoque de este artículo es una visión integral de modelar una red neuronal (técnicamente una red neuronal basada en el modelo de neuronas). Una vez que se elige un enfoque basado en la perspectiva y la conectividad, los modelos se desarrollan a niveles microscópicos (iones y neuronos), mesoscópicos (funcionales o poblados) o macroscópicos (sistema). El modelado computacional se refiere a modelos que se desarrollan utilizando herramientas de computación."
extracción de características,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos. Las técnicas de selección de la característica son utilizadas por cuatro razones:"
reconstrucción 3d,"En la visión por computadora y los gráficos por computadora, la reconstrucción 3D es el proceso de captura de la forma y la apariencia de objetos reales. Este proceso se puede lograr mediante métodos activos o pasivos. Si se permite que el modelo cambie su forma en el tiempo, esto se conoce como una reconstrucción no rígida o espacio-temporal."
esteganografía de imágenes,"La esteganografía (/ ˌstɛɛnɒrəfi/ ⓘ steg -ə-nog-rə-fee) es la práctica de representar información dentro de otro mensaje o objeto físico, de tal manera que la presencia de la información oculta no sea evidente para el examen de una persona desprevenida. En contextos informáticos/electrónicos, un archivo de computadora, mensaje, imagen o video se oculta dentro de otro archivo, mensaje, imagen o video. La palabra esteganografía proviene de la esteganografía griega, que combina las palabras Steganós (στεγανός), que significa ""cubierto o oculto"", y -graphia (γραφή) que significa ""escribir""."
segmentación basada en color,"La segmentación es uno de los problemas generales del campo de la visión artificial y consiste en dividir una imagen digital en varias regiones (grupos de píxeles) denominadas segmentos.  Más concretamente, la segmentación es un proceso de clasificación por píxel que asigna una categoría a cada píxel de la imagen analizada.  Este problema general se divide en problemas especializados, dando lugar por ejemplo a:"
eliminación de datos faltantes,"En estadística, los datos faltantes o valores faltantes ocurren cuando no se almacena un valor de datos para la variable en una observación. Los valores faltantes son una ocurrencia común y pueden tener un efecto significativo en las conclusiones que se pueden extraer de los datos."
detección de valores atípicos,"En el análisis de datos, la detección de anomalías (también denominada detección atípica y, a veces, como detección de novedad) generalmente se entiende como la identificación de elementos, eventos u observaciones raros que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal. Tales ejemplos pueden despertar sospechas de ser generado por un mecanismo diferente, o parecer inconsistente con el resto de ese conjunto de datos."
normalización de datos,"La escala de características es un método utilizado para normalizar el rango de variables o características independientes de los datos. En el procesamiento de datos, también se conoce como normalización de datos y generalmente se realiza durante el paso de preprocesamiento de datos."
estandarización de datos,"La escala de características es un método utilizado para normalizar el rango de variables o características independientes de los datos. En el procesamiento de datos, también se conoce como normalización de datos y generalmente se realiza durante el paso de preprocesamiento de datos."
codificación de variables categóricas,"En programación, programación de expresión de genes (PEG) es un algoritmo evolutivo que crea programas o modelos. Estos programas son complejas estructuras arbóreas que aprenden y se adaptan por el cambio de sus tamaños, formas y composición, muy parecido a un organismo vivo. Como organismos vivos, los programas de PEG eran codificados en simple cromosomas de tamaños fijos. Como, PEG es un sistema genotipo-fenotipo, beneficiado de un simple genoma para mantener y trasmitir información genética y un fenotipo complejo para explorar el ambiente y adaptarse."
label encoding,"En los circuitos digitales y el aprendizaje automático, un único-Hot es un grupo de bits entre los cuales las combinaciones legales de valores son solo aquellas con un solo alto (1) bit y todos los demás bajos (0). Una implementación similar en la que todos los bits son '1' excepto uno '0' a veces se llama un solo frío. En estadísticas, las variables ficticias representan una técnica similar para representar datos categóricos."
manejo de valores nulos,"En SQL, NULL o NULL es un marcador especial utilizado para indicar que no existe un valor de datos en la base de datos. Introducido por el creador del modelo de base de datos relacional, E. F. Codd, SQL NULL sirve para cumplir con el requisito de que todos los verdaderos sistemas de gestión de bases de datos relacionales (RDBMS) admitan una representación de ""información faltante e información inaplicable"".  CODD también introdujo el uso del símbolo de omega griego (ω) en minúsculas para representar nulo en la teoría de la base de datos.  En SQL, NULL es una palabra reservada utilizada para identificar este marcador."
escalado de características,"La escala de características es un método utilizado para normalizar el rango de variables o características independientes de los datos. En el procesamiento de datos, también se conoce como normalización de datos y generalmente se realiza durante el paso de preprocesamiento de datos."
filtrado de datos,"El Filtrado colaborativo (FC) es una técnica utilizada por algunos sistemas recomendadores. En general, el filtrado colaborativo es el proceso de filtrado de información o modelos, que usa técnicas que implican la colaboración entre múltiples agentes, fuentes de datos, etc.​ Las aplicaciones del filtrado colaborativo suelen incluir conjuntos de datos muy grandes. Los métodos de filtrado colaborativo se han aplicado a muchos tipos de datos, incluyendo la detección y control de datos (como en la exploración mineral, sensores ambientales en áreas grandes o sensores múltiples, datos financieros) tales como instituciones de servicios financieros que integran diversas fuentes financieras, o en formato de comercio electrónico y aplicaciones web 2.0 donde el foco está en los datos del usuario, etc. Esta discusión se centra en el filtrado colaborativo para datos de usuario, aunque algunos de los métodos y enfoques pueden aplicarse a otras aplicaciones."
eliminación de duplicados,"En estadística y aprendizaje automático, la fuga (también conocida como fuga de datos o de objetivos) es el uso de información en el proceso de formación del modelo que no se esperaría que estuviera disponible en el momento de la predicción, lo que hace que las puntuaciones predictivas (métricas) sobreestimen la utilidad del modelo cuando se ejecuta en un entorno de producción.​"
agrupación de datos,"El método de agrupamiento para el manejo de datos (en inglés: Group method of data handling, GMDH) es una familia de algoritmos inductivos para la modelación matemática computacional de conjunto de datos multi-paramétricos que caracteriza completamente la optimización estructural y paramétrica automática de modelos."
relleno de datos faltantes,"Extracto, transformación, carga (ETL) es un proceso de computación trifásico donde los datos se extraen de una fuente de entrada, se transforman (incluida la limpieza) y se carga en un contenedor de datos de salida. Los datos se pueden recopilar de una o más fuentes y también se pueden emitir a uno o más destinos. El procesamiento ETL se ejecuta típicamente utilizando aplicaciones de software, pero los operadores del sistema también pueden realizarlo manualmente. El software ETL generalmente automatiza todo el proceso y se puede ejecutar manualmente o en horarios recurrentes, ya sea como trabajos individuales o agregados en un lote de trabajos."
conversión de tipos de datos,"En la informática y la programación de computadoras, un tipo de datos (o simplemente tipo) es una recopilación o agrupación de valores de datos, generalmente especificado por un conjunto de valores posibles, un conjunto de operaciones permitidas en estos valores y/o una representación de estos valores como tipos de máquina. Una especificación de tipo de datos en un programa limita los valores posibles que podría tomar una expresión, como una variable o una llamada de función. En los datos literales, le dice al compilador o al intérprete cómo el programador tiene la intención de usar los datos. La mayoría de los lenguajes de programación admiten tipos de datos básicos de números enteros (de diferentes tamaños), números de punto flotante (que se aproximan a números reales), caracteres y booleanos."
revisión de tipos de datos,"En aprendizaje automático (AA) y minería de datos, el aprendizaje supervisado es una técnica para deducir una función a partir de datos de formación. Los datos de formación consisten de pares de objetos (normalmente vectores): una componente del par son los datos de entrada y el otro, los resultados deseados. La salida de la función puede ser un valor numérico (como en los problemas de regresión) o una etiqueta de clase (como en los de clasificación). El objetivo del aprendizaje supervisado es el de crear una función capaz de predecir el valor correspondiente a cualquier objeto de entrada válida después de haber visto una serie de ejemplos, los datos de formación. Para ello, tiene que generalizar a partir de los datos presentados a las situaciones no vistas previamente."
corrección de errores de entrada,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
fusión de conjuntos de datos,"En estadística y aprendizaje automático, los métodos por conjuntos utilizan múltiples algoritmos de aprendizaje para obtener un rendimiento predictivo mejor que el que podría obtenerse con cualquiera de los algoritmos de aprendizaje constituyentes por sí solos.​​​ A diferencia de un conjunto estadístico en mecánica estadística, que suele ser infinito, un conjunto de aprendizaje automático consta únicamente de un conjunto finito concreto de modelos alternativos, pero normalmente permite que exista una estructura mucho más flexible entre esas alternativas."
eliminación de columnas irrelevantes,"La limpieza de datos o la limpieza de datos es el proceso de identificación y corrección (o eliminación) de registros corruptos, inexactos o irrelevantes de un conjunto de datos, tabla o base de datos. Implica detectar partes incompletas, incorrectas o inexactas de los datos y luego reemplazar, modificar o eliminar los datos afectados. La limpieza de datos se puede realizar de manera interactiva utilizando herramientas de disputa de datos, o mediante procesamiento de lotes a menudo a través de scripts o un firewall de calidad de datos."
filtrado de filas irrelevantes,"El algoritmo es un algoritmo desarrollado por Kira y Rendell en 1992 que toma un enfoque de método de filtro para la selección de características que es notablemente sensible a las interacciones de características.  Originalmente fue diseñado para problemas de clasificación de aplicación a binarias con características discretas o numéricas.  Relief calcula una puntuación de característica para cada característica que luego se puede aplicar al rango y seleccione las características de puntuación superior para la selección de características.  Alternativamente, estos puntajes se pueden aplicar como pesos de características para guiar el modelado aguas abajo. La puntuación de la característica de relieve se basa en la identificación de las diferencias de valor de la característica entre los pares de instancias vecinas más cercanas. Si se observa una diferencia de valor de característica en un par de instancias vecino con la misma clase (un 'hit'), la puntuación de la característica disminuye.  Alternativamente, si se observa una diferencia de valor de característica en un par de instancias vecino con diferentes valores de clase (una 'falla'), la puntuación de la característica aumenta. Desde entonces, el algoritmo de relieve original ha inspirado a una familia de algoritmos de selección de características basados ​​en alivio (RBA), incluido el algoritmo Relieff.  Más allá del algoritmo de alivio original, los RBA se han adaptado a (1) realizar de manera más confiable en problemas ruidosos, (2) generalizar a problemas de múltiples clases (3) generalizar a los problemas de resultados numéricos (es decir, regresión), y (4) hacerlos robustos a datos incompletos (es decir, faltantes)."
interpolación de datos,"La asimilación de datos es una disciplina matemática que trata de combinar de forma óptima la teoría (normalmente en forma de modelo numérico) con las observaciones. Los objetivos pueden ser diversos: por ejemplo, determinar la estimación óptima del estado de un sistema, determinar las condiciones iniciales de un modelo numérico de previsión, interpolar datos de observación dispersos utilizando conocimientos (por ejemplo, físicos) del sistema observado, establecer parámetros numéricos basados en el entrenamiento de un modelo a partir de datos observados. En función del objetivo, pueden utilizarse distintos métodos de solución. La asimilación de datos se distingue de otras formas de aprendizaje automático, análisis de imágenes y métodos estadísticos en que utiliza un modelo dinámico del sistema analizado."
relleno con promedio,"Un modelo extenso de lenguaje o LLM (siglas en inglés para Large Language Model), también llamado modelo de lenguaje de gran tamaño, modelo de lenguaje grande,​ o gran modelo de lenguaje,​ es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros (normalmente miles de millones o más), entrenados en grandes cantidades de texto sin etiquetar mediante aprendizaje autosupervisado o aprendizaje semisupervisado.​ Los LLMs surgieron alrededor de 2018[cita requerida] y se desempeñan bien en una amplia variedad de tareas. Esto ha cambiado el enfoque de la investigación del procesamiento del lenguaje natural alejándose del paradigma anterior de entrenar modelos supervisados especializados para tareas específicas. "
relleno con mediana,"La esquizofrenia (del griegu clásicu σχίζειν schizein ‘estremar, biforcar, fender, romper' y φρήν phrēn, ‘entendimientu, razón, mente') ye un diagnósticu psiquiátricu que s'utiliza pa persones con un grupu de trestornos mentales crónicos y graves, carauterizáu de cutiu por conductes que resulten anómales pa la comunidá, falta de perceición de la realidá, alteraciones na perceición o na espresión de l'alteración de la realidá. La esquizofrenia causa amás un cambéu calteníu en dellos aspeutos del funcionamientu psíquicu del individuu, principalmente de la conciencia de realidá, y una desorganización neuropsicológica más o menos complexa, cuantimás de les funciones executives, que lleva a una dificultá pa caltener conductes motivaes y empobinaes a metes, y una significativa disfunción social. Ente los síntomes frecuentes, tán les creencies delirantes, pensamientu confusu, allucinaciones auditives, amenorgamientu de les actividaes sociales y/o aislamientu."
relleno con moda,"La historia del algodón comenzó con la domesticación del cultivo. Ha sido una actividad tradicional en diversas culturas de América, África y Asia y su comercio hacia Oriente Medio, el Mediterráneo y Europa tiene una historia milenaria."
identificación de valores extremos,La teoría del valor extremo o el análisis de valor extremo (EVA) es el estudio de extremos en las distribuciones estadísticas.
recodificación de variables,"En el análisis de regresión, una variable ficticia (también conocida como variable indicadora o simplemente ficticia) es una que toma un valor binario (0 o 1) para indicar la ausencia o presencia de algún efecto categórico que se puede esperar que cambie el resultado. Por ejemplo, si estuviéramos estudiando la relación entre el sexo biológico y los ingresos, podríamos usar una variable ficticia para representar el sexo de cada individuo en el estudio. La variable podría asumir un valor de 1 para hombres y 0 para mujeres (o viceversa). En el aprendizaje automático, esto se conoce como codificación única."
depuración de nombres de columnas,"Apache Hadoop es un entorno de trabajo para software, bajo licencia libre, para programar aplicaciones distribuidas que manejen grandes volúmenes de datos (big data).​ Permite a las aplicaciones trabajar con miles de nodos en red y petabytes de datos. Hadoop se inspiró en los documentos de Google sobre MapReduce y Google File System (GFS)."
eliminación de espacios en blanco,"Version Space Learning es un enfoque lógico para el aprendizaje automático, específicamente la clasificación binaria. Algoritmos de aprendizaje del espacio de versión Busque un espacio predefinido de hipótesis, visto como un conjunto de oraciones lógicas. Formalmente, el espacio de hipótesis es una disyunción"
validación de rangos de datos,Silhouette se refiere a un método de interpretación y validación de la coherencia dentro del análisis de grupos. La técnica proporciona una representación gráfica sucinta de lo bien que se ha clasificado cada objeto.​
manejo de datos inconsistentes,"La teoría de conexiones funcionales (TCF) es un marco matemático diseñado para la interpolación funcional. Introduce un método para derivar un funcional capaz de transformar problemas de optimización con restricciones en problemas equivalentes sin restricciones. Esta transformación permite la aplicación de la TCF a diversos problemas matemáticos, incluida la resolución de ecuaciones diferenciales. En este contexto, la interpolación funcional se refiere a la construcción de funcionales que siempre satisfacen las restricciones dadas, sin importar la expresión de la función interna (libre)."
codificación de fechas,"El Sesgo algorítmico ocurre cuando un sistema informático refleja los valores de los humanos que están implicados en la codificación y recolección de datos usados para entrenar el algoritmo. El sesgo algorítmico se puede encontrar en todos lados, como en los resultados de los motores de búsqueda o en las redes sociales y pueden tener un gran impacto en temas como la privacidad o agravar sesgos sociales como los existentes respecto a razas, género, sexualidad o etnias. El estudio del sesgo algorítmico esta enfocado sobre todo en algoritmos que reflejan ""discriminación sistemática e injusta"". Este tipo de sesgos han empezado a ser tenidos en cuenta en marcos legales recientemente, como el Control de Protección de Datos Generales de la Unión Europea en 2018."
verificación de integridad de datos,"La inteligencia artificial (abreviado: IA), en el contexto de las ciencias de la computación, es una disciplina y un conjunto de capacidades cognoscitivas e intelectuales expresadas por sistemas informáticos o combinaciones de algoritmos cuyo propósito es la creación de máquinas que imiten la inteligencia humana para realizar tareas, y que pueden mejorar conforme recopilen información.​​ Se hizo presente poco después de la Segunda Guerra Mundial con el desarrollo de la «prueba de Turing», mientras que la locución fue acuñada en 1956 por el informático John McCarthy en la Conferencia de Dartmouth."
xgboost,"XGBOOST (impulso de gradiente extremo) es una biblioteca de software de código abierto que proporciona un marco de impulso de gradiente regularizado para C ++, Java, Python, R, Julia, Perl y Scala. Funciona en Linux, Microsoft Windows y MacOS. De la descripción del proyecto, tiene como objetivo proporcionar una ""biblioteca de impulso de gradiente escalable, portátil y distribuido (GBM, GBRT, GBDT)"". Se ejecuta en una sola máquina, así como en los marcos de procesamiento distribuido Apache Hadoop, Apache Spark, Apache Flink y Dask."
lightgbm,"LightGBM, abreviatura de Light Gradient-Boosting Machine, es un marco de refuerzo de gradiente distribuido gratuito y de código abierto para el aprendizaje automático, desarrollado originalmente por Microsoft. Se basa en algoritmos de árbol de decisión y se usa para clasificar, clasificar y otras tareas de aprendizaje automático. El enfoque de desarrollo está en el rendimiento y la escalabilidad."
clustering,"El análisis o la agrupación de clúster es la tarea de agrupar un conjunto de objetos de tal manera que los objetos en el mismo grupo (llamado clúster) son más similares (en algún sentido específico definido por el analista) entre sí que a los de los de otros grupos (clústeres). Es una tarea principal de análisis de datos exploratorios y una técnica común para el análisis de datos estadísticos, utilizada en muchos campos, que incluye reconocimiento de patrones, análisis de imágenes, recuperación de información, bioinformática, compresión de datos, gráficos por computadora y aprendizaje automático."
umap,"La reducción de la dimensionalidad no lineal, también conocida como aprendizaje múltiple, es cualquiera de las diversas técnicas relacionadas que tienen como objetivo proyectar datos de alta dimensión, potencialmente existentes en los colectores no lineales que no pueden capturarse adecuadamente mediante métodos de descomposición lineal, en los cambios de latentes de dimensión inferior, con el espacio de la altura de los datos de los datos bajos en el espacio de baja dimensional, o el aprendizaje del mapeo (del mapeo (del mapeo (de los mapeadores de la altura de los objetivos al máximo de la altura de los objetivos. incrustación de baja dimensión o viceversa) en sí. Las técnicas descritas a continuación pueden entenderse como generalizaciones de métodos de descomposición lineal utilizados para la reducción de dimensionalidad, como la descomposición del valor singular y el análisis de componentes principales."
gru,"Las unidades recurrentes cerradas (Grus) son un mecanismo de activación en las redes neuronales recurrentes, introducidas en 2014 por Kyunghyun Cho et al. El GRU es como una memoria a largo plazo (LSTM) a largo plazo con un mecanismo de activación para ingresar u olvidar ciertas características, pero carece de un vector de contexto o una puerta de salida, lo que resulta en menos parámetros que LSTM. Se encontró que el rendimiento de Gru en ciertas tareas de modelado de música polifónica, modelado de señales de voz y procesamiento de lenguaje natural es similar a la de LSTM. Grus demostró que la activación es realmente útil en general, y el equipo de Bengio no llegó a una conclusión concreta sobre cuál de las dos unidades de activación fue mejor."
máquinas de boltzmann,"Una máquina Boltzmann (también llamada modelo Sherrington-Kirkpatrick con campo externo o modelo de ising estocástico), que lleva el nombre de Ludwig Boltzmann, es un modelo de vidrio giratorio con un campo externo, es decir, un modelo Sherrington-Kirkpatrick, que es un modelo estocástico. Es una técnica de física estadística aplicada en el contexto de la ciencia cognitiva. También se clasifica como un campo aleatorio de Markov."
autoencoders,"Un autoencoder es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado). Un autoencoder aprende dos funciones: una función de codificación que transforma los datos de entrada y una función de decodificación que recrea los datos de entrada de la representación codificada. El autoencoder aprende una representación eficiente (codificación) para un conjunto de datos, típicamente para la reducción de dimensionalidad, para generar integridades de dimensiones más bajas para el uso posterior por otros algoritmos de aprendizaje automático."
redes adversarias generativas,"Una red adversaria generativa (GaN) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa. El concepto fue desarrollado inicialmente por Ian Goodfellow y sus colegas en junio de 2014. En un GaN, dos redes neuronales concursan entre sí en forma de un juego de suma cero, donde la ganancia de un agente es la pérdida de otro agente."
bagging,"La agregación de bootstrap, también llamado empacado (de la agregación de arranque) o el bootstrapping, es un meta-algoritmo de conjunto de aprendizaje automático (ML) diseñado para mejorar la estabilidad y la precisión de los algoritmos de clasificación y regresión de ML. También reduce la varianza y el sobreajuste. Aunque generalmente se aplica a los métodos de árbol de decisión, se puede usar con cualquier tipo de método. El bolso es un caso especial del enfoque de promedio de conjunto."
stacking,"En estadísticas y aprendizaje automático, los métodos de conjunto utilizan múltiples algoritmos de aprendizaje para obtener un mejor rendimiento predictivo de lo que podría obtenerse de cualquiera de los algoritmos de aprendizaje constituyentes solo. A diferencia de un conjunto estadístico en un conjunto estadístico en la mecánica estadística, que generalmente es infinita, un conjunto de aprendizaje automático consiste solo en un conjunto concreto de modelos alternativos, pero típicamente permite que existan una estructura mucho más flexible entre las alternativas alternativas."
regresión de procesos gaussianos,"En la teoría y las estadísticas de la probabilidad, un proceso gaussiano es un proceso estocástico (una colección de variables aleatorias indexadas por tiempo o espacio), de modo que cada colección finita de esas variables aleatorias tiene una distribución normal multivariada. La distribución de un proceso gaussiano es la distribución conjunta de todas esas (infinitamente muchas) variables aleatorias, y como tal, es una distribución sobre funciones con un dominio continuo, p. tiempo o espacio."
clustering fuzzy c-means,La agrupación difusa (también denominada agrupación suave o medias k suaves) es una forma de agrupación en la que cada punto de datos puede pertenecer a más de un clúster.
stemización,"En la morfología lingüística y la recuperación de la información, la derivación es el proceso de reducir las palabras infectadas (o a veces derivadas) a su tallo de palabra, base o raíz, generalmente una forma de palabra escrita. El tallo no necesita ser idéntico a la raíz morfológica de la palabra; Por lo general, es suficiente que las palabras relacionadas se asignen al mismo tallo, incluso si este tallo no es en sí mismo una raíz válida. Los algoritmos para Stemming se han estudiado en informática desde la década de 1960. Muchos motores de búsqueda tratan las palabras con el mismo tallo que los sinónimos como una especie de expansión de consultas, un proceso llamado combinación."
análisis de sentimientos,"Análisis de sentimiento (también conocido como minería de opinión) se refiere al uso de procesamiento de lenguaje natural, análisis de texto y lingüística computacional para identificar y extraer información subjetiva de los recursos. Desde el punto de vista de la minería de textos, el análisis de sentimientos es una tarea de clasificación masiva de documentos de manera automática, en función de la connotación positiva o negativa del lenguaje empleado en el documento.​ Es importante mencionar que estos tratamientos generalmente ""se basan en relaciones estadísticas y de asociación, no en análisis lingüístico"".​ "
resumen automático,Automated Machine Learning (AUTOML) es el proceso de automatización de las tareas de aplicar el aprendizaje automático a los problemas del mundo real. Es la combinación de automatización y ML.
fasttext,FastText es una biblioteca para aprender de incrustaciones de palabras y clasificación de texto creada por el laboratorio de investigación de IA (justo) de Facebook. El modelo permite crear un algoritmo de aprendizaje supervisado no supervisado para obtener representaciones vectoriales para palabras. Facebook pone a disposición modelos previos a los productos previos para 294 idiomas. Varios documentos describen las técnicas utilizadas por FastText.
representaciones contextuales,"La detección de objetos es una tecnología de ordenador relacionada con la visión artificial y el procesamiento de imagen que trata de detectar casos de objetos semánticos de una cierta clase (como humanos, edificios, o coches) en vídeos e imágenes digitales.​ Los ámbitos mejor desarrollados de detección de objetos incluyen detección de caras y detección de personas, así como la conducción autónoma y la inspección de imágenes médicas. La detección de objetos tiene aplicaciones en muchas áreas de visión artificial, incluyendo recuperación de imágenes y video-vigilancia."
bert,"Las representaciones del codificador bidireccional de Transformers (BERT) son un modelo de idioma introducido en octubre de 2018 por investigadores de Google. Aprende a representar el texto como una secuencia de vectores utilizando el aprendizaje auto-supervisado. Utiliza la arquitectura del transformador solo del codificador. Es notable por su mejora dramática sobre los modelos anteriores de última generación, y como un ejemplo temprano de un modelo de lenguaje grande. A partir de 2020 [actualización], Bert es una línea de base ubicua en los experimentos de procesamiento del lenguaje natural (PNL)."
gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
gru,"Las unidades recurrentes cerradas (Grus) son un mecanismo de activación en las redes neuronales recurrentes, introducidas en 2014 por Kyunghyun Cho et al. El GRU es como una memoria a largo plazo (LSTM) a largo plazo con un mecanismo de activación para ingresar u olvidar ciertas características, pero carece de un vector de contexto o una puerta de salida, lo que resulta en menos parámetros que LSTM. Se encontró que el rendimiento de Gru en ciertas tareas de modelado de música polifónica, modelado de señales de voz y procesamiento de lenguaje natural es similar a la de LSTM. Grus demostró que la activación es realmente útil en general, y el equipo de Bengio no llegó a una conclusión concreta sobre cuál de las dos unidades de activación fue mejor."
parsing dependencial,"Un campo aleatorio condicional (Conditional Random Field o CRF en inglés) es un modelo estocástico utilizado habitualmente para etiquetar y segmentar secuencias de datos o extraer información de documentos. En algunos contextos también se lo denomina campo aleatorio de Márkov (inglés: Markov random Fields, MRF)."
parsing constituencial,"En lingüística, el análisis de constituyentes inmediatos (ICA) es una teoría sintáctica que se centra en la estructura jerárquica de las oraciones aislando e identificando a los componentes. Si bien la idea de romper las oraciones en componentes más pequeños se remonta a las primeras teorías psicológicas y lingüísticas, el ICA como un método formal se desarrolló a principios del siglo XX. Fue influenciado por las teorías psicológicas de la estructura de la oración de Wilhelm Wundt, pero luego fue refinado y formalizado en el marco de lingüística estructural por Leonard Bloomfield. El método ganó tracción en la tradición distributalista a través del trabajo de Zellig Harris y Charles F. Hockett, quienes la expandieron y la aplicó al análisis de oraciones. Además, la ICA fue explorada en el contexto de Glossematics por Knud Togeby. Estas contribuciones ayudaron a la ICA a convertirse en una herramienta central en el análisis sintáctico, centrándose en las relaciones jerárquicas entre los componentes de las oraciones."
etiquetado secuencial,"El etiquetado de componente conectado (CCL), el análisis de componentes conectados (CCA), la extracción de blob, el etiquetado de región, el descubrimiento de blob o la extracción de región es una aplicación algorítmica de la teoría de gráficos, donde los subconjuntos de componentes conectados se etiquetan de manera única en base a una heurística dada. El etiquetado de componente conectado no debe confundirse con la segmentación."
resolución de anáforas,"La prueba de esquemas de Winograd (en inglés: Winograd Schema Test; abreviado como WSC), también Test de esquemas de Winograd, es una prueba de inteligencia artificial propuesta por Hector Levesque, científico computacional de la Universidad de Toronto, en 2014. Esta prueba fue diseñada como una mejora al Test de Turing y consiste en un cuestionario de preguntas con múltiples respuestas provenientes de los esquemas ideados por Terry Winograd, también científico computacional, de la Universidad de Stanford.​"
intent detection,Automated Machine Learning (AUTOML) es el proceso de automatización de las tareas de aplicar el aprendizaje automático a los problemas del mundo real. Es la combinación de automatización y ML.
coreferencia,"BERT (Representacións de Codificador Bidireccional de Transformadores, en inglés, Bidirectional Encoder Representations from Transformers) é un modelo de linguaxe bidireccional introducido en outubro de 2018 por investigadores de Google. Aprendeuse mediante a aprendizaxe supervisada a representar o texto como unha secuencia de vectores. Ten a arquitectura do codificador do transformador. Destaca pola súa dramática mellora con respecto aos modelos anteriores do estado da arte, e como un dos primeiros exemplos de gran modelo de linguaxe. A partir do ano 2020, BERT foi unha liña base omnipresente nos experimentos de procesamento da linguaxe natural (PLN)."
