concepto,descripcion
integración con apis,"En la informática, el Protocolo de Datos Abierto (OData) o Open Data Protocoles un protocolo abierto que permite la creación y consumo de APIs RESTful que pueden ser consultadas e interoperables en una manera simple y estandarizada. Microsoft inició dicho protocolo en el 2007.​ Las versiones 1.0,2.0 y 3 están lanzadas bajo el Microsoft Open Specification Promise. La versión 4.0 fue estandarizada en OASIS,,​ con un lanzamiento en marzo de 2014.​ En abril de 2015 OASIS envió la versión 4 de OData y la versión 4 del formato OData JSON a ISO/IEC JTC 1 para su aprobación como un estándar internacional.​"
gestión de credenciales en rpa,"La presidencia de Alberto Fernández inició el 10 de diciembre de 2019, sucediendo a Mauricio Macri, y finalizó el 10 de diciembre de 2023 al completar su período y ser sucedido por Javier Milei. Fue un gobierno calificado como de centro.​"
bots desatendidos,"El metro de Nueva York es un sistema de tránsito rápido que sirve a cuatro de los cinco distritos de Nueva York: El Bronx, Brooklyn, Manhattan y Queens. Su operador es la Autoridad de Tránsito de la Ciudad de Nueva York (NYCTA), que está controlada por la Autoridad de Transporte Metropolitano (MTA) de Nueva York. En 2016, lo utilizaron a diario un promedio de 5,66 millones de pasajeros, lo que lo convierte en el sistema de tránsito rápido más transitado de los Estados Unidos y el séptimo más transitado del mundo.​​"
bots atendidos,"La teoría de colas es el estudio matemático de las colas o líneas de espera dentro de un sistema. Esta teoría estudia factores como el tiempo de espera medio en las colas o la capacidad de trabajo del sistema sin que llegue a colapsar. Dentro de las matemáticas, la teoría de colas se engloba en la investigación de operaciones y es un complemento muy importante a la teoría de sistemas y la teoría de control. Se trata así de una teoría que encuentra aplicación en una amplia variedad de situaciones como negocios, comercio, industria, ingenierías, transporte y logística o telecomunicaciones."
plataformas de rpa,"Intetics es una empresa de tecnología estadounidense que proporciona desarrollo de aplicaciones de software personalizado, creación de equipos profesionales distribuidos, evaluación de la calidad del producto de software y soluciones ""completamente digitales"" construidas con tecnologías SMAC, RPA, AI/ ML, IoT, blockchain y GIS/ UAV/ LBS. Con sede en Naples, Florida, Intetics opera desde múltiples oficinas en los Estados Unidos, Europa y América Latina."
herramientas de rpa,"Un vehículo aéreo no tripulado (VANT), UAV (del inglés unmanned aerial vehicle), más apropiadamente RPAS (del inglés Remotely Piloted Aircraft System),​ comúnmente conocido como dron,​[nota 1]​ hace referencia a una aeronave que vuela sin tripulación, la cual ejerce su función remotamente. Un VANT es un vehículo sin tripulación, reutilizable, capaz de mantener de manera autónoma un nivel de vuelo controlado y sostenido, y propulsado por un motor de explosión, eléctrico o de reacción."
automatización de formularios,"Marketing de Bases de Datos es una forma de marketing directo usando bases de datos de clientes o clientes potenciales para generar comunicaciones personalizadas con el fin de promover un producto o servicio con propósitos de marketing. El método de comunicación puede ser cualquier medio direccionable, como en marketing directo.​"
automatización de tareas manuales,"La automatización industrial (automatización: del griego antiguo auto, ‘guiado por uno mismo’) es el uso de sistemas o elementos computarizados, electromecánicos, electroneumáticos y electrohidráulicos para finesindustriales. Como una disciplina de la ingeniería más amplia que un sistema de control, abarca la instrumentación industrial, que incluye los sensores, los transmisores de campo, los sistemas de control y supervisión, los sistemas de transmisión y recolección de datos y las aplicaciones de software en tiempo real para supervisar y controlar las operaciones de plantas o procesos industriales."
automatización de flujos de datos,"La automatización industrial (automatización: del griego antiguo auto, ‘guiado por uno mismo’) es el uso de sistemas o elementos computarizados, electromecánicos, electroneumáticos y electrohidráulicos para finesindustriales. Como una disciplina de la ingeniería más amplia que un sistema de control, abarca la instrumentación industrial, que incluye los sensores, los transmisores de campo, los sistemas de control y supervisión, los sistemas de transmisión y recolección de datos y las aplicaciones de software en tiempo real para supervisar y controlar las operaciones de plantas o procesos industriales."
análisis de procesos para rpa,"Un gemelo digital es un sistema informático programado de tal forma que, al recibir las mismas entradas que experimenta el objeto o proceso físico del que es gemelo, proporciona las mismas salidas.​ Por ejemplo, una turbina de gas tiene como entradas metano al 97 % de pureza y aire a 20 °C, y mueve un alternador que produce energía eléctrica. Un gemelo digital de esta turbina correctamente programado puede predecir los gigawatios de energía que producirá el alternador si la pureza del metano baja al 96 % o la temperatura del aire sube a 21 °C."
documentación de procesos,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
monitorización de bots,"SAS (anteriormente conocido como ""Statistical Analysis System""; sistema de análisis estadístico)​ es un paquete de software estadístico desarrollado por SAS Institute. Este software se utiliza para la gestión de datos, el análisis avanzado, el análisis multivariante, la inteligencia empresarial, la investigación criminal​ y el análisis predictivo."
automatización de tareas repetitivas,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
automatización asistida,"Un sistema de gestión de aprendizaje (SGA; en inglés: learning management system o LMS) es un software instalado en un servidor web que se emplea para administrar, distribuir y controlar las actividades de formación no presencial (o educación en línea) de una institución u organización. Permitiendo fundamentalmente, una asincronía espacio-temporal entre los agentes implicados (estudiante y docente en línea) y en menor medida, una sincronía temporal.​ "
automatización no asistida,"Un sistema de gestión de aprendizaje (SGA; en inglés: learning management system o LMS) es un software instalado en un servidor web que se emplea para administrar, distribuir y controlar las actividades de formación no presencial (o educación en línea) de una institución u organización. Permitiendo fundamentalmente, una asincronía espacio-temporal entre los agentes implicados (estudiante y docente en línea) y en menor medida, una sincronía temporal.​ "
pruebas automatizadas,"Analítica de aprendizaje (también conocida con su equivalente en idioma inglés Learning Analytics) es la medición, recopilación, análisis e informe de datos sobre los alumnos y sus contextos, con el fin de comprender y optimizar el aprendizaje y los entornos en los que se produce.​ Un campo estrechamente relacionado es la minería de datos educativa."
automatización de flujos de trabajo,"La automatización industrial (automatización: del griego antiguo auto, ‘guiado por uno mismo’) es el uso de sistemas o elementos computarizados, electromecánicos, electroneumáticos y electrohidráulicos para finesindustriales. Como una disciplina de la ingeniería más amplia que un sistema de control, abarca la instrumentación industrial, que incluye los sensores, los transmisores de campo, los sistemas de control y supervisión, los sistemas de transmisión y recolección de datos y las aplicaciones de software en tiempo real para supervisar y controlar las operaciones de plantas o procesos industriales."
ciclo de vida de bots,"Un modelo extenso de lenguaje o LLM (siglas en inglés para Large Language Model), también llamado modelo de lenguaje de gran tamaño, modelo de lenguaje grande,​ o gran modelo de lenguaje,​ es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros (normalmente miles de millones o más), entrenados en grandes cantidades de texto sin etiquetar mediante aprendizaje autosupervisado o aprendizaje semisupervisado.​ Los LLMs surgieron alrededor de 2018[cita requerida] y se desempeñan bien en una amplia variedad de tareas. Esto ha cambiado el enfoque de la investigación del procesamiento del lenguaje natural alejándose del paradigma anterior de entrenar modelos supervisados especializados para tareas específicas. "
impacto de rpa en el roi,"La automatización de procesos robóticos (RPA) es una forma de automatización de procesos comerciales basados ​​en robots de software (BOT) o agentes de inteligencia artificial (IA). RPA no debe confundirse con la inteligencia artificial, ya que se basa en la tecnología de automatización después de un flujo de trabajo predefinido.  A veces se le conoce como robótica de software (que no debe confundirse con el software robot)."
optimización de procesos con rpa,"La automatización de procesos robóticos (RPA) es una forma de automatización de procesos comerciales basados ​​en robots de software (BOT) o agentes de inteligencia artificial (IA). RPA no debe confundirse con la inteligencia artificial, ya que se basa en la tecnología de automatización después de un flujo de trabajo predefinido.  A veces se le conoce como robótica de software (que no debe confundirse con el software robot)."
implementación de rpa,"Un vehículo aéreo no tripulado (VANT), UAV (del inglés unmanned aerial vehicle), más apropiadamente RPAS (del inglés Remotely Piloted Aircraft System),​ comúnmente conocido como dron,​[nota 1]​ hace referencia a una aeronave que vuela sin tripulación, la cual ejerce su función remotamente. Un VANT es un vehículo sin tripulación, reutilizable, capaz de mantener de manera autónoma un nivel de vuelo controlado y sostenido, y propulsado por un motor de explosión, eléctrico o de reacción."
escalabilidad en rpa,"La automatización de procesos robóticos (RPA) es una forma de automatización de procesos comerciales basados ​​en robots de software (BOT) o agentes de inteligencia artificial (IA). RPA no debe confundirse con la inteligencia artificial, ya que se basa en la tecnología de automatización después de un flujo de trabajo predefinido.  A veces se le conoce como robótica de software (que no debe confundirse con el software robot)."
rpa en la nube,"La fintech, fintec o tecnología financiera (del inglés financial technology) es una industria financiera que aplica nuevas tecnologías a actividades financieras y de inversión.​ Las fintech son las nuevas aplicaciones, procesos, productos o modelos de negocios en la industria de los servicios financieros,​ compuestos de uno o más servicios financieros complementarios y puestos a disposición del público vía Internet. Un ejemplo puede ser el incluir con la compra por internet la financiación simultánea de la misma."
seguridad en rpa,"Un vehículo aéreo no tripulado (VANT), UAV (del inglés unmanned aerial vehicle), más apropiadamente RPAS (del inglés Remotely Piloted Aircraft System),​ comúnmente conocido como dron,​[nota 1]​ hace referencia a una aeronave que vuela sin tripulación, la cual ejerce su función remotamente. Un VANT es un vehículo sin tripulación, reutilizable, capaz de mantener de manera autónoma un nivel de vuelo controlado y sostenido, y propulsado por un motor de explosión, eléctrico o de reacción."
análisis predictivo en rpa,"El mercadeo digital o marketing digital es el componente de la mercadotecnia que utiliza internet y tecnologías digitales en línea, como computadoras de escritorio, teléfonos móviles y otras plataformas y medios digitales para promover productos y servicios.​​ Su desarrollo durante las décadas de 1990 y 2000 cambió la forma en que las marcas y las empresas utilizan la tecnología para el mercadeo. A medida que las plataformas digitales se incorporaron cada vez más a los planes de mercadeo y la vida cotidiana,​ y a medida que las personas utilizan cada vez más dispositivos digitales en lugar de visitar tiendas físicas,​​ las campañas de mercadeo digital se han vuelto frecuentes, empleando combinaciones de optimización de motores de búsqueda (OMB), mercadotecnia en motores de búsqueda (MMB), marketing de contenidos, mercadotecnia influyente, automatización de contenidos, mercadeo de campañas, mercadeo basado en datos, mercadeo de comercio electrónico, mercadotecnia en medios sociales, optimización de medios sociales, Email marketing, la publicidad gráfica, los libros electrónicos y los juegos y discos ópticos se han convertido en algo común. El mercadeo digital se extiende a los canales que no son de Internet que proporcionan medios digitales, como televisión, teléfonos móviles (SMS y MMS), devolución de llamada y tonos de llamada en espera.​ La extensión a canales distintos de Internet diferencia el mercadeo digital del mercadeo en línea.​"
inteligencia artificial en rpa,"Un gemelo digital es un sistema informático programado de tal forma que, al recibir las mismas entradas que experimenta el objeto o proceso físico del que es gemelo, proporciona las mismas salidas.​ Por ejemplo, una turbina de gas tiene como entradas metano al 97 % de pureza y aire a 20 °C, y mueve un alternador que produce energía eléctrica. Un gemelo digital de esta turbina correctamente programado puede predecir los gigawatios de energía que producirá el alternador si la pureza del metano baja al 96 % o la temperatura del aire sube a 21 °C."
automatización de atención al cliente,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
transformada rápida de fourier,"(Este artículo utiliza una definición alternativa de la transformada de Fourier, además de ciertos errores que estan siendo corregidos)"
filtro pasa altos,"Un filtro de elementos distribuidos es un filtro electrónico en el que la capacidad, la inductancia y la resistencia (los elementos del circuito) no están localizadas en condensadores, inductores y resistores discretos como en los filtros convencionales. Su propósito es permitir el paso de un rango de frecuencias de señal mientras bloquea otras. Los filtros convencionales se construyen a partir de inductores y condensadores, y los circuitos resultantes se describen mediante el modelo de parámetros concentrados, que considera que cada elemento está «concentrado» en un punto. Este modelo es conceptualmente simple, pero se vuelve cada vez menos fiable a medida que aumenta la frecuencia de la señal o, de manera equivalente, a medida que disminuye la longitud de onda.  "
filtro rechaza banda,"Un filtro de elementos distribuidos es un filtro electrónico en el que la capacidad, la inductancia y la resistencia (los elementos del circuito) no están localizadas en condensadores, inductores y resistores discretos como en los filtros convencionales. Su propósito es permitir el paso de un rango de frecuencias de señal mientras bloquea otras. Los filtros convencionales se construyen a partir de inductores y condensadores, y los circuitos resultantes se describen mediante el modelo de parámetros concentrados, que considera que cada elemento está «concentrado» en un punto. Este modelo es conceptualmente simple, pero se vuelve cada vez menos fiable a medida que aumenta la frecuencia de la señal o, de manera equivalente, a medida que disminuye la longitud de onda.  "
transformada z,"En matemáticas, la transformada de Laplace es una transformada integral que convierte una función de variable real t{displaystyle t} (normalmente el tiempo) a una función de variable compleja s{displaystyle s}. Tiene muchas aplicaciones en ciencia e ingeniería porque es una herramienta para resolver ecuaciones diferenciales. En particular, transforma ecuaciones diferenciales en ecuaciones algebraicas."
señales determinísticas,"El procesado de señal (también conocido como tratamiento o procesamiento de señales) es la disciplina que desarrolla y estudia las técnicas de tratamiento (filtrado, amplificación,...), el análisis y la clasificación de las señales. Se basa en los resultados de la teoría de la información, de la estadística y la matemática aplicada.​ "
señales aleatorias,"En la teoría de la probabilidad, un proceso estocástico es un concepto matemático que sirve para representar magnitudes aleatorias que varían con el tiempo o para caracterizar una sucesión de variables aleatorias (estocásticas) que evolucionan en función de otra variable, generalmente el tiempo.​ Cada una de las variables aleatorias del proceso tiene su propia función de distribución de probabilidad y pueden o no estar correlacionadas entre sí."
ruido en señales,"El ruido blanco gaussiano se refiere a un tipo de ruido aleatorio cuyas muestras son independientes entre sí y siguen una distribución gaussiana o normal. A diferencia del ruido gaussiano, el ruido blanco gaussiano tiene una densidad espectral de potencia constante en todas las frecuencias. Esto significa que el ruido tiene la misma potencia en todas las frecuencias y no muestra correlación entre las muestras en el dominio del tiempo. El ruido blanco gaussiano es utilizado frecuentemente como un modelo idealizado de ruido en muchas aplicaciones, como la simulación de señales y la evaluación de algoritmos de procesamiento de señales."
sistema lineal e invariante en el tiempo,"Un sistema lineal es un modelo matemático de un sistema basado en el uso de un operador lineal. Los sistemas lineales generalmente exhiben características y propiedades que son mucho más simples que el caso no lineal. Como abstracción matemática o idealización, los sistemas lineales encuentran aplicaciones importantes en la teoría del control automático, el procesamiento de señales y las telecomunicaciones. Por ejemplo, el medio de propagación para sistemas de comunicación inalámbrica a menudo puede ser modelado por sistemas lineales. "
interpolación de señales,"Una serie temporal o cronológica es una sucesión de datos medidos en determinados momentos y ordenados cronológicamente. Los datos pueden estar espaciados a intervalos iguales (como la temperatura en un observatorio meteorológico en días sucesivos al mediodía) o desiguales (como el peso de una persona en sucesivas mediciones en el consultorio médico, la farmacia, etc.). Para el análisis de las series temporales se usan métodos que ayudan a interpretarlas y que permiten extraer información representativa sobre las relaciones subyacentes entre los datos de la serie o de diversas series y que permiten en diferente medida y con distinta confianza extrapolar o interpolar los datos y así predecir el comportamiento de la serie en momentos no observados, sean en el futuro (extrapolación pronóstica), en el pasado (extrapolación retrógrada) o en momentos intermedios (interpolación)."
dizaje de señales,"Una red bayesiana, red de Bayes, red de creencia, modelo bayesiano (de Bayes) o modelo probabilístico en un grafo acíclico dirigido es un modelo grafo probabilístico (un tipo de modelo estático) que representa un conjunto de variables aleatorias y sus dependencias condicionales a través de un grafo acíclico dirigido (DAG por sus siglas en inglés). Por ejemplo, una red bayesiana puede representar las relaciones probabilísticas entre enfermedades y síntomas. Dados los síntomas, la red puede ser usada para computar la probabilidad de la presencia de varias enfermedades. Su nombre deriva del matemático inglés del siglo XVIII Thomas Bayes."
filtrado digital,"Un filtro digital es un tipo de filtro que opera sobre señales discretas y cuantizadas, implementado con tecnología digital, bien como un circuito digital o como un programa informático."
filtrado analógico,"Un filtro paso bajo corresponde a un filtro electrónico caracterizado por permitir el paso de las frecuencias más bajas y atenuar las frecuencias más altas.​ El filtro requiere de dos terminales de entrada y dos de salida, de una caja negra, también denominada cuadripolo o bipuerto, así todas las frecuencias se pueden presentar a la entrada, pero a la salida solo estarán presentes las que permita pasar el filtro. De la teoría se obtiene que los filtros están caracterizados por sus funciones de transferencia, así cualquier configuración de elementos activos o pasivos que consigan cierta función de transferencia serán considerados un filtro de cierto tipo."
ruido de banda limitada,"Se define como error de cuantificación o ruido de cuantificación  a la señal en tiempo discreto y amplitud continua introducida por el proceso de cuantificación (uno de los procesos que intervienen en la conversión analógica-digital, que sigue al de muestreo y precede al de codificación) y que resulta de igualar los niveles de las muestras de amplitud continua a los niveles de cuantificación más próximos. Una vez cuantificadas las muestras podrán ser codificadas ya que siempre se podrá establecer una correspondencia biunívoca entre cada nivel de cuantificación y un número entero. Para el caso del cuantificador ideal se trata del único error que introduce el proceso."
detección de bordes en señales,"La detección de bordes es una herramienta fundamental en el procesamiento de imágenes y en visión por computadora, particularmente en las áreas de detección y extracción de características, que tiene como objetivo la identificación de puntos en una imagen digital en la que el brillo de la imagen cambia drásticamente o, más formalmente, tiene discontinuidades. El mismo problema de encontrar discontinuidades en señales 1D se conoce como detección de paso."
análisis de señales multiresolución,"VisSim es un lenguaje de programación visual, y fue premiado por su capacidad de modelar y simular complejos sistemas dinámicos. VisSim combina un ensamblado de la interfaz intuitiva de arrastrar y colocar los diagramas de bloques a un motor de simulación de gran alcance. Es desarrollado por la empresa estadounidense Visual Solutions en Westford, Massachusetts."
gráficos de barras,"Un diagrama de barras, gráfico de barras o gráfico de columnas es una forma de representar gráficamente un conjunto de datos o valores mediante barras rectangulares de longitud proporcional a los valores representados. Los gráficos de barras pueden ser usados para comparar cantidades de una variable en diferentes momentos o diferentes variables para el mismo momento. Las barras pueden orientarse horizontal y verticalmente."
gráficos de líneas,"Los gráficos estadísticos, también conocidos como técnicas gráficas, son gráficos en el campo de las estadísticas que se utilizan para visualizar datos cuantitativos. Los métodos estadísticos gráficos tienen 4 objetivos:"
gráficos de dispersión,"Un diagrama de dispersión, gráfica de dispersión, gráfico de burbujas o gráfico de bolas es un tipo de diagrama matemático que utiliza las coordenadas cartesianas para mostrar los valores de dos variables para un conjunto de datos.​"
diagramas de caja,"Un diagrama de caja (también, diagrama de caja y bigotes o box plot) es un método estandarizado para representar gráficamente una serie de datos numéricos a través de sus cuartiles. De esta manera, se muestran a simple vista la mediana y los cuartiles de los datos,​ y también pueden representarse sus valores atípicos. Conviene recordar que se utilizan las bisagras de Tukey, y no los cuartiles, a la hora de dibujar la caja del gráfico, aunque los resultados son semejantes en muestras grandes."
heatmaps,"En Matemáticas, una serie de tiempo es una serie de puntos de datos indexados (o enumerados o gráficos) en el orden de tiempo.  Más comúnmente, una serie de tiempo es una secuencia tomada en puntos sucesivos igualmente espaciados en el tiempo. Por lo tanto, es una secuencia de datos de tiempo discreto. Ejemplos de series temporales son alturas de mareas oceánicas, recuentos de manchas solares y el valor de cierre diario del promedio industrial Dow Jones."
gráficos de torta,"Un gráfico circular, diagrama sectorial, gráfica circular o gráfica de pastel es un recurso estadístico que se utiliza para representar porcentajes y proporciones. El número de elementos comparados dentro de una gráfica circular suele ser de más de cuatro."
gráficos de área,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
diagramas de dispersión con burbujas,"Un diagrama de dispersión, gráfica de dispersión, gráfico de burbujas o gráfico de bolas es un tipo de diagrama matemático que utiliza las coordenadas cartesianas para mostrar los valores de dos variables para un conjunto de datos.​"
gráficos de radar,"El radar (término derivado del acrónimo inglés radio detection and ranging, “detección y distanciometría de radio”)​​ es un sistema que usa ondas electromagnéticas para medir distancias, altitudes, direcciones y velocidades de objetos como aeronaves, barcos, vehículos motorizados, formaciones meteorológicas y el propio terreno. Su funcionamiento se basa en emitir un impulso de radio, que se refleja en el objetivo y se recibe típicamente en la misma posición del emisor. A partir de este ""eco"" se puede extraer gran cantidad de información. El uso de ondas electromagnéticas con diversas longitudes de onda permite detectar objetos más allá del rango de otro tipo de emisiones (luz visible, sonido, etc.)"
gráficos de rosca,"El tornillo es una máquina simple que deriva directamente de una pieza metálica y siempre trabaja asociado a un orificio roscado. Básicamente puede definirse como un plano inclinado enrollado sobre un cilindro, o lo que es más realista, un surco helicoidal tallado en la superficie de un cilindro (si está tallado sobre un cilindro afilado o un cono tendremos un tirafondo). En él se distinguen tres partes básicas: cabeza, cuello y rosca.​"
mapas coropléticos,"El método de optimización de Jenks, también llamado Método de clasificación de Jenks Natural Breaks, es un método de agrupación de datos diseñado para determinar la mejor disposición de los valores en diferentes clases. Esto se hace buscando minimizar la desviación promedio de cada clase de la media de la clase, al tiempo que maximiza la desviación de cada clase de los medios de las otras clases. En otras palabras, el método busca reducir la varianza dentro de las clases y maximizar la varianza entre las clases."
gráficos de series temporales,"Una serie temporal o cronológica es una sucesión de datos medidos en determinados momentos y ordenados cronológicamente. Los datos pueden estar espaciados a intervalos iguales (como la temperatura en un observatorio meteorológico en días sucesivos al mediodía) o desiguales (como el peso de una persona en sucesivas mediciones en el consultorio médico, la farmacia, etc.). Para el análisis de las series temporales se usan métodos que ayudan a interpretarlas y que permiten extraer información representativa sobre las relaciones subyacentes entre los datos de la serie o de diversas series y que permiten en diferente medida y con distinta confianza extrapolar o interpolar los datos y así predecir el comportamiento de la serie en momentos no observados, sean en el futuro (extrapolación pronóstica), en el pasado (extrapolación retrógrada) o en momentos intermedios (interpolación)."
gráficos de violin,"En estadística, la estimación de la densidad de Kernel (KDE) es la aplicación del suavizado de kernel para la estimación de la densidad de probabilidad, es decir, un método no paramétrico para estimar la función de densidad de probabilidad de una variable aleatoria basada en kernels como pesos. KDE responde a un problema fundamental de suavizado de datos en el que se hacen inferencias sobre la población, basándose en una muestra finita de datos. En algunos campos, como el procesamiento de señales y la econometría, también se denomina método de la ventana de Parzen-Rosenblatt, en honor a Emanuel Parzen y Murray Rosenblatt, a quienes se suele atribuir su creación independiente en su forma actual.​​Una de las aplicaciones más conocidas de la estimación de la densidad del núcleo es la estimación de las densidades marginales condicionales de clase de los datos cuando se utiliza un clasificador Bayes ingenuo,​​ que puede mejorar su precisión de predicción.​"
gráficos de densidad,"En estadística, la estimación de la densidad de Kernel (KDE) es la aplicación del suavizado de kernel para la estimación de la densidad de probabilidad, es decir, un método no paramétrico para estimar la función de densidad de probabilidad de una variable aleatoria basada en kernels como pesos. KDE responde a un problema fundamental de suavizado de datos en el que se hacen inferencias sobre la población, basándose en una muestra finita de datos. En algunos campos, como el procesamiento de señales y la econometría, también se denomina método de la ventana de Parzen-Rosenblatt, en honor a Emanuel Parzen y Murray Rosenblatt, a quienes se suele atribuir su creación independiente en su forma actual.​​Una de las aplicaciones más conocidas de la estimación de la densidad del núcleo es la estimación de las densidades marginales condicionales de clase de los datos cuando se utiliza un clasificador Bayes ingenuo,​​ que puede mejorar su precisión de predicción.​"
diagramas de gantt,El diagrama de Gantt es una herramienta gráfica cuyo objetivo es exponer el tiempo de dedicación previsto para diferentes tareas o actividades a lo largo de un tiempo total determinado.
mapas de calor geográficos,"Un mapa de calor (heat map, en inglés) es una técnica de visualización de datos que mide la magnitud de un fenómeno en colores en dos dimensiones. La variación del color puede ser por tono o intensidad, haciendo obvia la lectura del fenómeno sobre el espacio que se trata. Existen dos categorías fundamentales de mapas de calor: el mapa de calor de análisis de grupos y el mapa de calor espacial. En un mapa de calor de conglomerados, las magnitudes se disponen en una matriz de tamaño de celda fijo, cuyas filas y columnas son fenómenos y categorías discretos, además la clasificación de filas y columnas es intencional y algo arbitraria, con el objetivo de sugerir los conglomerados o representarlos como descubrimientos a través del análisis estadístico. El tamaño de la celda es arbitrario pero lo suficientemente grande para ser claramente visible. Por el contrario, la posición de una magnitud en un mapa de calor espacial está forzada por la ubicación de la magnitud en ese espacio, y no existe la noción de celdas; se considera que el fenómeno varía continuamente. "
gráficos de red,"En teoría de probabilidades y en estadística, un modelo en grafo (MG) representa las dependencias entre variables aleatorias como un grafo en el que cada variable aleatoria es un nodo."
diagramas de sankey,"El diagrama de Sankey es un tipo específico de diagrama de flujo, en el que la anchura de las flechas se muestra proporcional a la cantidad de flujo."
gráficos de pareto,"El diagrama de Pareto, también llamado curva cerrada o Distribución A-B-C, es una gráfica para organizar datos de forma que estos queden en orden descendente, de izquierda a derecha y separados por barras. Permite asignar un orden de prioridades. El diagrama permite mostrar gráficamente el principio de Pareto (pocos vitales, muchos triviales), es decir, que hay muchos problemas sin importancia frente a unos pocos muy importantes. Mediante la gráfica colocamos los ""pocos que son vitales"" a la izquierda y los ""muchos triviales"" a la derecha. El diagrama facilita el estudio de las fallas en las industrias o empresas comerciales, así como fenómenos sociales o naturales psicosomáticos, como se puede ver en el ejemplo de la gráfica al principio del artículo."
gráficos de boxen,"El indicador Myers-Briggs o inventario tipológico de Myers-Briggs,–MBTI por sus siglas en inglés–  es un cuestionario autorreportado que usa afirmaciones pseudocientíficas​​para clasificar a los individuos en 16 ""tipos psicológicos"" o ""tipos de personalidad"" distintos."
diagrama de hexágonos,"En geometría, el prisma hexagonal es un prisma con base hexagonal. Este poliedro tiene 8 caras, 18 aristas y 12 vértices.​​"
gráficos de líneas apiladas,"La escala de Likert (también denominada método de evaluaciones sumarias) publicada en 1932 por Rensis Likert, es una escala psicométrica comúnmente utilizada en las investigaciones de  ciencias sociales que emplean cuestionarios. Es el enfoque más utilizado para ordenar por gradiente las respuestas en la investigación por encuestas, de modo que el término ""escalas tipo Likert"" se usa a menudo de forma intercambiable con ""escala de valoración"", aunque existen otros tipos de escalas de valoración.​"
gráficos de variación,"En estadística, cuando se desea hacer referencia a la relación entre el tamaño de la media y la variabilidad de la variable, se utiliza el coeficiente de variación (suele representarse por las siglas ""C.V."")."
mapas de relieve,"Un mapa en relieve (también conocido como modelo de terreno) es una representación tridimensional, generalmente de terreno, materializada como un artefacto físico. Cuando se representa un terreno, la dimensión vertical generalmente se exagera por un factor entre 5 y 10 para facilitar el reconocimiento visual de las características del terreno. "
mapas de flujo,"El diagrama de flujo o flujograma o diagrama de actividades es la representación gráfica de un algoritmo o proceso. Se utiliza en disciplinas como programación, economía, procesos industriales y psicología cognitiva."
gráficos de pirámides poblacionales,La pirámide de población o pirámide demográfica es un histograma o gráfico de barras dispuestas horizontalmente cuya longitud es proporcional a la cantidad de personas que representa la edad y sexo de la población en cada una de dichas barras y dicha información sirve para saber el porcentaje de la población.
gráficos de velocímetros,"La velocidad de la luz en el vacío es una constante universal que utilizando las unidades internacionales tiene el valor de 299 792 458 metros por segundo ,​​ aunque suele aproximarse a  3 × 108 m/s, en lenguaje común 300 000  kilómetros por segundo. Se simboliza con la letra c, proveniente del latín celéritās (en español, celeridad o rapidez)."
gráficos de rosetas,"La nebulosa roseta (también conocida como Caldwell 49) es una región H II ubicada cerca de un extremo de una nube molecular gigante en la región de Monoceros de la Galaxia de la Vía Láctea. El clúster abierto NGC 2244 (Caldwell 50) está estrechamente asociado con la nebulosidad, las estrellas del grupo se han formado a partir del asunto de la nebulosa."
